id_top,topic,keyword,number
t1_s0,Resistance genes,m. tb,34
t1_s0,Resistance genes,mdr-tb,20
t1_s0,Resistance genes,tb,16
t1_s0,Resistance genes,drug-resistance,15
t1_s0,Resistance genes,rpob,13
t1_s0,Resistance genes,katg,8
t1_s0,Resistance genes,resistance,8
t1_s0,Resistance genes,rifampicin,7
t1_s0,Resistance genes,multidrug-resistant,6
t1_s0,Resistance genes,xdr-tb,5
t1_s0,Resistance genes,isoniazid,4
t1_s0,Resistance genes,rifampicin resistance,4
t1_s0,Resistance genes,mutations,4
t1_s0,Resistance genes,gene,4
t1_s0,Resistance genes,second-line drugs,3
t1_s0,Resistance genes,inha,3
t1_s0,Resistance genes,drugs,3
t1_s0,Resistance genes,novel mutation,3
t1_s0,Resistance genes,docking,3
t1_s0,Resistance genes,aminoglycosides,3
t1_s2,Plant extracts,antimycobacterial,12
t1_s2,Plant extracts,mdr-tb,11
t1_s2,Plant extracts,m. tb,10
t1_s2,Plant extracts,tb,7
t1_s2,Plant extracts,activity,7
t1_s2,Plant extracts,anti-tb,3
t1_s2,Plant extracts,docking,3
t1_s2,Plant extracts,multidrug-resistant,3
t1_s2,Plant extracts,molecular docking,3
t1_s2,Plant extracts,antibacterial activity,2
t1_s2,Plant extracts,sensitive tb,2
t1_s2,Plant extracts,molecular modeling,2
t1_s2,Plant extracts,mexican medicinal plants,2
t1_s2,Plant extracts,pharmacophore,2
t1_s2,Plant extracts,mass-spectrometry,2
t1_s2,Plant extracts,pyrazolines,2
t1_s2,Plant extracts,benzoxazole,2
t1_s2,Plant extracts,proteomics,2
t1_s2,Plant extracts,interaction energy,2
t1_s2,Plant extracts,fel,1
t1_s5,2nd line regimens,m. tb,27
t1_s5,2nd line regimens,tb,19
t1_s5,2nd line regimens,mdr-tb,18
t1_s5,2nd line regimens,resistance,8
t1_s5,2nd line regimens,drug-resistance,6
t1_s5,2nd line regimens,multidrug-resistant,6
t1_s5,2nd line regimens,xdr-tb,6
t1_s5,2nd line regimens,drugs,5
t1_s5,2nd line regimens,fluoroquinolones,4
t1_s5,2nd line regimens,linezolid,4
t1_s5,2nd line regimens,efflux pump,4
t1_s5,2nd line regimens,second-line drugs,3
t1_s5,2nd line regimens,rifampicin,3
t1_s5,2nd line regimens,mycobacteria,3
t1_s5,2nd line regimens,anti-tb,3
t1_s5,2nd line regimens,inhibitors,3
t1_s5,2nd line regimens,moxifloxacin,3
t1_s5,2nd line regimens,synergy,3
t1_s5,2nd line regimens,proteomics,3
t1_s5,2nd line regimens,lc-ms/ms,2
t1_s6,New compounds,activity,33
t1_s6,New compounds,anti-tb,32
t1_s6,New compounds,antimycobacterial,30
t1_s6,New compounds,m. tb,29
t1_s6,New compounds,mdr-tb,28
t1_s6,New compounds,tb,26
t1_s6,New compounds,antitubercular agents,6
t1_s6,New compounds,xdr-tb,5
t1_s6,New compounds,pharmacophore,4
t1_s6,New compounds,pyrazolines,4
t1_s6,New compounds,"1,3-dipolar cycloaddition",4
t1_s6,New compounds,molecular docking,4
t1_s6,New compounds,structure-activity relationship,4
t1_s6,New compounds,drug-resistance,3
t1_s6,New compounds,dna gyrase,3
t1_s6,New compounds,azomethine ylide,3
t1_s6,New compounds,isatin,3
t1_s6,New compounds,h37rv,3
t1_s6,New compounds,isoniazid,3
t1_s6,New compounds,drugs,3
